Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,1.515104,46.78
2,1.396253,47.70
3,1.358068,50.65
4,1.324875,51.66
5,1.300577,52.38
6,1.279919,51.21
7,1.265071,53.19
8,1.254387,53.92
9,1.246208,53.84
10,1.236588,52.56
11,1.230774,53.53
12,1.222676,54.85
13,1.217568,53.09
14,1.210916,53.51
15,1.205611,54.96
16,1.200752,54.89
17,1.195775,55.20
18,1.192997,54.63
19,1.187021,54.46
20,1.182770,55.15
21,1.178166,54.91
22,1.175039,54.26
23,1.171075,55.52
24,1.167962,55.50
25,1.164524,55.45
26,1.160114,55.60
27,1.157438,55.01
28,1.153259,55.24
29,1.152202,55.47
30,1.146189,55.43
